Buenos Aires,116883,34.68,0.06
Catamarca,2734,31.23,0.08
Ciudad Autonoma de Buenos Aires,21982,39.99,0.04
Cordoba,24961,34.74,0.06
Corrientes,7408,31.30,0.09
Chaco,7981,30.51,0.11
Chubut,3713,32.55,0.07
Entre Rios,9210,33.74,0.07
Formosa,3922,30.41,0.10
Jujuy,5043,31.70,0.08
La Pampa,2354,35.12,0.06
La Rioja,2470,31.41,0.07
Mendoza,12789,34.02,0.08
Misiones,8169,29.56,0.10
Neuquen,3976,32.14,0.07
Rio negro,4791,33.24,0.08
Salta,9059,30.29,0.09
San Juan,4966,32.09,0.08
San Luis,3283,33.27,0.07
Santa Cruz,1996,30.68,0.07
Santa Fe,23980,35.28,0.06
Santiago del Estero,6468,31.16,0.10
Tierra del Fuego,938,30.36,0.06
Tucuman,10924,32.16,0.08
